FNDOY,FVI FONDO VALORES IN,PNK,USA
ZBINTXPP.BO,Binayak Tex Processors Limited,BSE,India
TPX,Tempur Sealy International Inc.,NYQ,USA
WTT.F,MARENICA ENERGY,FRA,Germany
EDW.V,Edgewater Exploration Ltd.,VAN,Canada
CNS,Cohen & Steers Inc.,NYQ,USA
CIRFP,CONTINENTAL AIRL FIN,PNK,USA
1831.HK,ShiFang Holding Limited,HKG,Hong Kong
000270.KS,Kia Motors Corp.,KSC,Korea
NMDC.NS,NMDC Limited,NSI,India
NSEEY,Norse Energy Corp. ASA,PNK,USA
HBMD,Howard Bancorp Inc.,NCM,Australia
SCC.TA,Space-Communication Ltd.,TLV,Israel
BIOM.L,Biome Technologies plc,LSE,UK
ALTX,Altex Industries Inc.,PNK,USA
AMT.SG,TD AMERITRADE HLDG,STU,Germany
003450.KS,"Hyundai Securities Co., Ltd.",KSC,Korea
CZXMF,Canada Zinc Metals Corp.,PNK,USA
IART,Integra LifeSciences Holdings Corporation,NMS,USA
KICK,"Master Glaziers Karate International, Inc.",PNK,USA
XOOM,Xoom Corporation,NMS,USA
UEDVF,CITIC Envirotech Ltd.,PNK,USA
ALVIV.PA,Visiativ SA,PAR,France
NBZ.TO,Northern Blizzard Resources Inc.,TOR,Canada
KTCNF,KT CORPORATION KRW,PNK,USA
IHRMF,iShares Public Limited Company - iShares MSCI Japan UCITS ETF (Dist),PNK,USA
MJP.AX,Martin Aircraft Company Limited,ASX,Australia
QVQP3B.SA,524 PARTICIPON      MB,SAO,Brazil
TATB.DE,Tata Motors Limited,GER,Germany
72346P.TWO,YUANTA SECURITIES P/W 30/05/16(,TWO,Taiwan
ZBHAVIIN.BO,BHAVI INVESTMENTS LTD.,BSE,India
QS2A.BE,SMITHS GROUP,BER,Germany
OFLMF,Oriflame Holding AG,PNK,USA
STND,Standard Financial Corp.,PNK,USA
2SO.F,SOPHOS GROUP,FRA,Germany
VTCB.BE,VTECH HLDGS,BER,Germany
NTO.BE,NINTENDO CO LTD,BER,Germany
TENX,"Tenax Therapeutics, Inc.",NCM,Australia
ARDC,"Ares Dynamic Credit Allocation Fund, Inc.",NYQ,USA
AKR.L,Akers Biosciences Inc.,LSE,UK
HIIDY,Hidili Industry International Development Ltd.,PNK,USA
LICT,LICT Corporation,PNK,USA
CHEF,"The Chefs' Warehouse, Inc.",NMS,USA
BEZ3.MU,BERENTZEN VZ,MUN,Germany
NNC,Nuveen North Carolina Premium Income Municipal Fund,NYQ,USA
SUL.AX,Super Retail Group Limited,ASX,Australia
2498.TW,HTC Corporation,TAI,Taiwan
FISN.BE,FINISAR,BER,Germany
052790.KQ,"Actoz Soft Co., Ltd.",KOE,South Korea
E6P.F,EASTERN PROP HLDGS,FRA,Germany
0CG.BE,CHEGG,BER,Germany
MNOV,MediciNova Inc.,NGM,Sweden
GNBT,Generex Biotechnology Corp.,PNK,USA
YIZH.SG,SINOPEC OILFIELD-H-,STU,Germany
RV6.MU,CHARLES RIV LAB INT,MUN,Germany
JOES,EAT AT JOE'S LTD,PNK,USA
DRW3.SG,DRAEGERWERK VZ,STU,Germany
QUEST.BO,QUEST SOFTECH (INDIA) LTD,BSE,India
MXE,Mexico Equity & Income Fund Inc.,NYQ,USA
EI.PA,Essilor International SA,PAR,France
V72C.SG,BETSSON -B-,STU,Germany
DGC.TO,Detour Gold Corporation,TOR,Canada
RX.V,BioSyent Inc.,VAN,Canada
099520.KQ,"ITX Security Co., Ltd.",KOE,South Korea
ANOS,Anoteros Inc.,PNK,USA
PK1.BE,PARK OHIO HOLDINGS ,BER,Germany
ANDREWYU.BO,Andrew Yule & Company Ltd.,BSE,India
ASND,Ascendis Pharma A/S,NMS,USA
TC6.F,TAKEEI,FRA,Germany
A68U.SI,Ascott Residence Trust,SES,Singapore
ACSAF,"Actividades de Construcción y Servicios, S.A.",PNK,USA
MEQ.TO,Mainstreet Equity Corp.,TOR,Canada
OEX.AX,Oilex Ltd.,ASX,Australia
UG8K.SG,AVENG,STU,Germany
SSA.IL,JS SIS SP GDR REG-S,IOB,UK
PKPYY,PICK N PAY STORES AD,PNK,USA
GSVC,GSV Capital Corp.,NCM,Australia
ROWKF,Renoworks Software Inc.,PNK,USA
ORFR,ORBIT/FR Inc.,PNK,USA
HHC,The Howard Hughes Corporation,NYQ,USA
QLTY,Quality Distribution Inc.,NGM,Sweden
EVER,EverBank Financial Corp.,NYQ,USA
BGLF.L,BLK GSO EUR-REG S,LSE,UK
ZGCO,"The Ziegler Companies, Inc.",PNK,USA
QSC.SW,QSC N,EBS,Austria
TWTR,"Twitter, Inc.",NYQ,USA
ROIQU,ROI Acquisition Corp. II,NCM,Australia
HPCQ,"HPC Acquisitions, Inc.",OBB,USA
ARCC,Ares Capital Corporation,NMS,USA
DUO.AX,Dourado Resources Limited,ASX,Australia
BEZ3.SG,BERENTZEN VZ,STU,Germany
XLENERGY.BO,XL ENERGY LTD.,BSE,India
8267.HK,"Linekong Interactive Group Co., Ltd.",HKG,Hong Kong
CTLT,"Catalent, Inc.",NYQ,USA
PRPH,"ProPhase Labs, Inc.",NGM,Sweden
1880714.SG,IKB FUNDING TR II,STU,Germany
NPEGF,NIPPON ELECTRIC GLAS,PNK,USA
RGI.V,Reco International Group Inc.,VAN,Canada
BPI,"Bridgepoint Education, Inc.",NYQ,USA
AIA.NZ,Auckland International Airport Limited,NZE,New Zealand
CLCGY,Clicks Group Limited,PNK,USA
SGYPU,"Synergy Pharmaceuticals, Inc.",NCM,Australia
CBIA,Canopus BioPharma Incorporated,PNK,USA
NDGPF,Nine Dragons Paper (Holdings) Ltd.,PNK,USA
07G.BE,FLEETCOR TCHNGY,BER,Germany
WTXR,"West Texas Resources, Inc.",PNK,USA
M9R.SG,CANADA ZINC METALS,STU,Germany
FP.PA,TOTAL S.A.,PAR,France
PV6.BE,PIERRE ET VACANCES,BER,Germany
GOVAI.BO,GOOD VALUE IRRIGATION LTD.,BSE,India
WL5P.MU,MEGA MEDICAL TECH,MUN,Germany
O5H.F,OPENLIMIT HLDG,FRA,Germany
TMT-H.V,"TMT Resources, Inc.",VAN,Canada
HHY-UN.TO,HIGH ROCK CDN HIGH YIELD BOND F,TOR,Canada
ENTWW,GLOBAL EAGLE WRNTS,PNK,USA
BOBE,"Bob Evans Farms, Inc.",NMS,USA
WLWHY,Woolworths Holdings Limited,PNK,USA
JMPB,JMP Group LLC,NYQ,USA
2BV.F,BRIGHTCOVE,FRA,Germany
FTS-PI.TO,FORTIS INC PREF SERIES I,TOR,Canada
APAX.L,APAX GLOB ALPHA GBP,LSE,UK
FDO.F,MACY'S,FRA,Germany
STRL,Sterling Construction Co. Inc.,NMS,USA
EXEO,"Exeo Entertainment, Inc.",OBB,USA
G6P.DE,Going Public Media AG,GER,Germany
OOMA,"Ooma, Inc.",NYQ,USA
HEQ,John Hancock Hedged Equity & Income Fund,NYQ,USA
WZR.V,Westernzagros Resources Ltd.,VAN,Canada
ORIA.PA,Fiducial Real Estate,PAR,France
WIND.L,Renewable Energy Generation Limited,LSE,UK
CVX.F,CVR REFN,FRA,Germany
FBGX,UBS AG FI Enhanced Large Cap Growth ETN,PCX,USA
XPK.SG,WHITE ENERGY LTD,STU,Germany
CTAG.L,CloudTag Inc.,LSE,UK
CFIN,Citizens Financial Corporation,PNK,USA
OUNLF,Opus International Consultants Ltd.,PNK,USA
HDZ.F,SHIMADZU CORP,FRA,Germany
NXTFF,Nextraction Energy Corp.,PNK,USA
SUND,"Sundance Strategies, Inc.",OBB,USA
WFM.DU,WHOLE FOODS MARKET,DUS,Germany
9924.TW,"Taiwan Fu Hsing Industrial Co., Ltd.",TAI,Taiwan
BMY.MX,Bristol-Myers Squibb Company,MEX,Mexico
2008.HK,Phoenix Satellite Television Holdings Ltd.,HKG,Hong Kong
OMCM,OmniComm Systems Inc.,OBB,USA
OR.TO,Osisko Gold Royalties Ltd.,TOR,Canada
ODFL,Old Dominion Freight Line Inc.,NMS,USA
SWIR,Sierra Wireless Inc.,NMS,USA
TKOBF,TOKYO BROADCASTING S,PNK,USA
4W71.F,WHITE PINE RES,FRA,Germany
ET.TO,Evertz Technologies Limited,TOR,Canada
HGWEF,HAGIWARA ELEC,PNK,USA
LEOM,Leo Motors Inc.,PNK,USA
PFU-UN.TO,INVESTMENT GRADE MANAGED DUR IN,TOR,Canada
WWI.OL,Wilh. Wilhelmsen Holding ASA,OSL,Norway
MGLT,Magnolia Solar Corporation,PNK,USA
WAC.SW,WACKER NEUSON N,EBS,Austria
GLPEF,"Galp Energia, SGPS, S.A.",PNK,USA
CIT,CIT Group Inc.,NYQ,USA
HMHC,Houghton Mifflin Harcourt Company,NMS,USA
ZVA.BE,CELLECTIS,BER,Germany
UPSURGE.BO,Upsurge Investment and Finance Limited,BSE,India
TKM.SG,TAKASHIMAYA CO LTD,STU,Germany
VIPS,Vipshop Holdings Limited,NYQ,USA
005750.KS,"Daelim B&Co; Co., Ltd.",KSC,Korea
IVDA,"Iveda Solutions, Inc.",OBB,USA
MCYWD,Plateau Uranium Inc.,PNK,USA
KMLXF,iSonea Limited,PNK,USA
SSM.AX,Service Stream Limited,ASX,Australia
YEC.F,YASKAWA ELECTRIC,FRA,Germany
OREO,"Avant Diagnostics, Inc.",OBB,USA
DIN,"DineEquity, Inc.",NYQ,USA
FVORI.IS,Favori Dinlenme Yerleri AS,IST,Turkey
RBCDF,Royal Bank of Canada,PNK,USA
URVNF,Uravan Minerals Inc.,PNK,USA
AMTC,Ameritrans Capital Corp.,PNK,USA
AGO.V,AurCrest Gold Inc.,VAN,Canada
XCQ.DU,CABOT OIL & GAS,DUS,Germany
MZF,Managed Duration Investment Grade Municipal Fund,NYQ,USA
OY.V,Oyster Oil and Gas Ltd.,VAN,Canada
GLOFF,GameLoft S.E.,PNK,USA
CMCT,CIM Commercial Trust Corporation,NGM,Sweden
CIX,CompX International Inc.,ASE,USA
717463.TWO,YUANTA SECURITIES C/W 24/08/15(,TWO,Taiwan
BMXI,Brookmount Explorations Inc.,PNK,USA
ARNA,"Arena Pharmaceuticals, Inc.",NMS,USA
ROGI,"Radiant Oil & Gas, Inc.",PNK,USA
4096.NZ,ZEL 15/11/19 6.5 - Z Energy Ltd,NZE,New Zealand
IDIG,International Digital Holding Inc.,PNK,USA
RO.SW,ROCHE HLDG,EBS,Austria
WTM1.F,SYNETY GRP,FRA,Germany
NPNYY,Nippon Yusen Kabushiki Kaisha,PNK,USA
NRZ.SG,NATURAL RESOURCE,STU,Germany
YILD-B.ST,Yield Life Science AB,STO,Sweden
NTUBF,NTT URBAN DEV,PNK,USA
NTP,Nam Tai Property Inc.,NYQ,USA
YD-Z5-98-17.AX,,ASX,Australia
COCSF,Coca-Cola FEMSA S.A.B de C.V.,PNK,USA
CLIUF,City of London Investment Group PLC,PNK,USA
BBBI,Birmingham Bloomfield Bancshares Inc.,PNK,USA
WUW.BE,WUESTENROT & WUERTT,BER,Germany
PFL.L,Premier Farnell plc,LSE,UK
GRMS,"Green Energy Management Services Holdings, Inc.",PNK,USA
PEN.OL,Panoro Energy ASA,OSL,Norway
WIPSI,WISCONSIN PUB 6%,PNK,USA
PFMT,Performant Financial Corporation,NMS,USA
REU1.BE,REUNERT,BER,Germany
FKKFF,FUKUOKA FNCL GROUP,PNK,USA
QCCPO.MX,QUALITAS CONTR-CPO,MEX,Mexico
ZGV1.BE,GEVO,BER,Germany
JASNW,"Jason Industries, Inc.",NCM,Australia
RACK,"Rackwise, Inc.",PNK,USA
MWET4.SA,Wetzel S.A.,SAO,Brazil
721651.TWO,YUANTA SECURITIES C/W 13/06/16(,TWO,Taiwan
JOSA.ST,Josab International AB (publ),STO,Sweden
AJQ.AX,Armour Energy Limited,ASX,Australia
VBK.SG,VERBIO VGT BIOENERG,STU,Germany
HGO.AX,Hillgrove Resources Ltd.,ASX,Australia
VIRT,"Virtu Financial, Inc.",NMS,USA
VVCVF,VVC Exploration Corp.,PNK,USA
G9Y.MU,GS YUASA,MUN,Germany
M30.SI,Meghmani Organics Limited,SES,Singapore
NWT.SG,WELLS FARGO,STU,Germany
TNTHF,Difference Capital Financial Inc.,PNK,USA
EXO.MI,Exor S.p.A.,MIL,Italy
CHMD,China Media Group Corp.,PNK,USA
CLX.V,Organto Foods Inc.,VAN,Canada
R2:CTAX4S.SA,CONTAX PARTICIPACO,SAO,Brazil
SMO.BE,SUMITOMO EL IND,BER,Germany
SHYMF,SHEFA YAMIN,PNK,USA
8092.HK,ITE Holdings Ltd.,HKG,Hong Kong
BN2.SI,Valuetronics Holdings Limited,SES,Singapore
0609.HK,Tiande Chemical Holdings Limited,HKG,Hong Kong
CRA.L,TP Group plc,LSE,UK
NXGPY,Next Plc,PNK,USA
71828P.TWO,JIH SUN SECURITIES P/W 29/07/15,TWO,Taiwan
SVIN,Scheid Vineyards Inc.,PNK,USA
BIG,Big Lots Inc.,NYQ,USA
LCI,"Lannett Company, Inc.",NYQ,USA
YG11.HM,YNGL GRN EN SP ADR,HAM,Germany
LQDT,"Liquidity Services, Inc.",NMS,USA
ESES,"Eco-Stim Energy Solutions, Inc.",NCM,Australia
NEX.PA,"Nexans  Société Anonyme
",PAR,France
VFGGF,Virginia Hills Oil Corp.,PNK,USA
MSGN,MSG Networks Inc.,NYQ,USA
YASKY,Yaskawa Electric Corp.,PNK,USA
IRM,Iron Mountain Incorporated,NYQ,USA
CNEL.L,China New Energy Ltd.,LSE,UK
WOOLWAY.BO,WOOLWAYS (INDIA) LTD.,BSE,India
D04.SI,Datapulse Technology Limited,SES,Singapore
NATU3F.SA,NATURA      ON      NM,SAO,Brazil
BWY.L,Bellway plc,LSE,UK
ICPW,Ironclad Performance Wear Corporation,PNK,USA
KIE.L,Kier Group plc,LSE,UK
LMCB,Liberty Media Corporation,NMS,USA
RPRXW,Repros Therapeutics Inc.,NCM,Australia
5TE.BE,TALEN ENERGY,BER,Germany
INY.MC,INYPSA,MCE,Spain
VMS.V,VMS Ventures Inc.,VAN,Canada
LFA.F,ALPHA NATURAL RES,FRA,Germany
MYIB.L,Murray International B Ord,LSE,UK
COMERCIUBC.MX,Controladora Comercial Mexicana SAB DE CV,MEX,Mexico
ILK2S.HE,Ilkka Yhtyma Oyj,HEL,Finland
XAKO.AT,Halcor Metal Works S.A.,ATH,Greece
ONG.ST,Oniva Online Group Europe AB (publ),STO,Sweden
PWB.TO,Pacific & Western Bank of Canada,TOR,Canada
MEA,Metalico Inc.,ASE,USA
074130.KQ,D.ID Corporation,KOE,South Korea
BFD.V,"Beaufield Resources, Inc.",VAN,Canada
VNN.BE,VODATEL NETWORKS,BER,Germany
SER.OL,Serodus ASA,OSL,Norway
NGLPF,Alternative Earth Resources Inc.,PNK,USA
RM,Regional Management Corp.,NYQ,USA
EGRNF,Evergrande Real Estate Group Limited,PNK,USA
QIHUN.MX,QIHOO 360 ADS-A,MEX,Mexico
0401-OL.HK,WANJIA GROUP,HKG,Hong Kong
EWW.F,ENERGY WORLD CORP,FRA,Germany
