CVLA.F,VALE PFD-A N1,FRA,Germany
LVLT,"Level 3 Communications, Inc.",NYQ,USA
1023.HK,Sitoy Group Holdings Limited,HKG,Hong Kong
CYNO,"Cynosure, Inc.",NMS,USA
ANARF,Adriana Resources Inc.,PNK,USA
DUGG,DUGGANS DISTILLERS P,PNK,USA
WAF.BE,SILTRONIC N,BER,Germany
HCG.TO,Home Capital Group Inc.,TOR,Canada
CRAI,CRA International Inc.,NMS,USA
ELD.TO,Eldorado Gold Corporation,TOR,Canada
CHOLY,China Oilfield Services Ltd.,PNK,USA
LNG,"Cheniere Energy, Inc.",ASE,USA
DX-PA,"Dynex Capital, Inc. Preferred S",NYQ,USA
LBG.BE,LIONBRIDGE TECH,BER,Germany
HLMLY,Halma plc,PNK,USA
SY1.DE,Symrise AG,GER,Germany
KBE.L,KIMBERLEY ENTERPRIS,LSE,UK
RHK.DE,Rhön-Klinikum Aktiengesellschaft,GER,Germany
CL8.AX,Collaborate Corporation Limited,ASX,Australia
RDUS,"Radius Health, Inc.",NGM,Sweden
AWAY,"HomeAway, Inc.",NMS,USA
59M.BE,MS&AD, INSURANCE,BER
TVIPF,TVI Pacific Inc.,PNK,USA
0880.HK,SJM Holdings Limited,HKG,Hong Kong
AAXT,"Aamaxan Transport Group, Inc., Prior to reverse merger with Shanghai Medical Technology Co.",PNK,USA
WAVE-R.BK,Wave Entertainment Public Company Limited,SET,Thailand
VSDL,"VersaCOM International, Inc.",PNK,USA
0ZP.BE,ZOSANO PHARMA,BER,Germany
DM0.SI,Hanwell Holdings Limited,SES,Singapore
U.V,ANDEANGOLD LTD.,VAN,Canada
BKIMF,BANKINTER SA REG SHS,PNK,USA
RHT.AX,Resonance Health Ltd.,ASX,Australia
HYG.TO,Hydrogenics Corporation,TOR,Canada
CIR.MI,Compagnie Industriali Riunite S.p.A.,MIL,Italy
CIBG,Cibolan Gold Corp.,PNK,USA
2637.TW,"Wisdom Marine Lines Co., Limited",TAI,Taiwan
WCN.AX,White Cliff Minerals Limited,ASX,Australia
ITUB4.SA,Itaú Unibanco Holding S.A.,SAO,Brazil
KUTV,"Ku6 Media Co., Ltd.",NGM,Sweden
GALOF,Galore Resources Inc.,PNK,USA
